gene	x_labels	mean	median	sd
MT-CO3	Atypical meningioma_7	1862.73	2029.3	600.7
MT-CO3	Whole Blood_755	4814.81	4196	2924.48
MT-CO3	Pancreas_328	11895.02	11210	4834.63
MT-CO3	Cells - Cultured fibroblasts_504	12755.56	11420	4282.42
MT-CO3	Artery - Aorta_432	16500.19	16010	5243.06
MT-CO3	Ovary_180	16456.27	17750	8038.98
MT-CO3	Cervix - Ectocervix_9	17318.56	18070	4894.02
MT-CO3	Cells - EBV-transformed lymphocytes_174	18109.67	18090	4593.77
MT-CO3	Lung_578	19658.29	18630	7645.75
MT-CO3	Cervix - Endocervix_10	19932.5	19525	8102.57
MT-CO3	Uterus_142	19836.17	19570	7339.12
MT-CO3	Spleen_241	20076.25	19970	6661.2
MT-CO3	Artery - Tibial_663	21968.8	21020	6092.39
MT-CO3	Vagina_156	21851.91	21235	8802.81
MT-CO3	Artery - Coronary_240	23875.06	22170	9880
MT-CO3	Fallopian Tube_9	20151.11	22630	4663.95
MT-CO3	Nerve - Tibial_619	23627.28	22870	5952.43
MT-CO3	Esophagus - Mucosa_555	26409.69	23050	12839.02
MT-CO3	Minor Salivary Gland_162	26963.21	25845	8233.25
MT-CO3	Pituitary_283	28215.41	27880	10878.73
MT-CO3	Bladder_21	30940.9	29410	10959.92
MT-CO3	Colon - Sigmoid_373	34734.5	33370	12194.53
MT-CO3	Adipose - Visceral (Omentum)_541	34988.3	33470	14004.92
MT-CO3	Esophagus - Gastroesophageal Junction_375	38167.97	33980	15697.39
MT-CO3	Skin - Sun Exposed (Lower leg)_701	35321.44	34550	8601.88
MT-CO3	Adipose - Subcutaneous_663	36446.03	34960	10720.11
MT-CO3	Testis_361	37366.51	35090	10421.46
MT-CO3	Esophagus - Muscularis_515	38658.93	35350	14113
MT-CO3	Thyroid_653	36139.8	35520	12617.49
MT-CO3	Prostate_245	38330.86	35570	14402.25
MT-CO3	Skin - Not Sun Exposed (Suprapubic)_604	36994.49	35630	9499.92
MT-CO3	Breast - Mammary Tissue_459	38505.51	35820	13296.36
MT-CO3	Small Intestine - Terminal Ileum_187	38641.81	38250	13141.51
MT-CO3	Stomach_359	40705.77	38330	14179.77
MT-CO3	Brain - Cerebellar Hemisphere_215	43698.33	39680	15186.52
MT-CO3	Brain - Cerebellum_241	42370.66	40070	10840.94
MT-CO3	Brain - Spinal cord (cervical c-1)_159	42732.96	41870	14006.62
MT-CO3	Muscle - Skeletal_803	42470.32	41940	10246.79
MT-CO3	Liver_226	45972.62	44570	19031.95
MT-CO3	Colon - Transverse_406	46930.45	46860	16925.6
MT-CO3	Adrenal Gland_258	55132.85	53115	17482.77
MT-CO3	Brain - Frontal Cortex (BA9)_209	53802.58	53400	12776.76
MT-CO3	Brain - Caudate (basal ganglia)_246	53983.13	53980	10236.45
MT-CO3	Brain - Cortex_255	54534.51	54370	10012.34
MT-CO3	Brain - Substantia nigra_139	57596.76	57210	14382.61
MT-CO3	Brain - Putamen (basal ganglia)_205	58526.1	58340	10411.5
MT-CO3	Brain - Nucleus accumbens (basal ganglia)_246	59999.29	58755	13435.97
MT-CO3	Heart - Atrial Appendage_429	63461.56	61220	17765.59
MT-CO3	Brain - Hypothalamus_202	64221.78	63930	15264.39
MT-CO3	Heart - Left Ventricle_432	71583.54	66045	23307.28
MT-CO3	Brain - Anterior cingulate cortex (BA24)_176	67540.82	67870	13482.55
MT-CO3	Brain - Hippocampus_197	71257.82	71990	14770.98
MT-CO3	Brain - Amygdala_152	71941.17	72425	13127.78
MT-CO3	Kidney - Cortex_85	88198.47	86570	33872.8
