gene	x_labels	mean	median	sd
MT-CO3	Choroid plexus papilloma (n=16)	2168.76	1546.58	1504.68
MT-CO3	Adipose - Subcutaneous (n=663)	36446.03	34960	10720.11
MT-CO3	Adipose - Visceral (Omentum) (n=541)	34988.3	33470	14004.92
MT-CO3	Adrenal Gland (n=258)	55132.85	53115	17482.77
MT-CO3	Artery - Aorta (n=432)	16500.19	16010	5243.06
MT-CO3	Artery - Coronary (n=240)	23875.06	22170	9880
MT-CO3	Artery - Tibial (n=663)	21968.8	21020	6092.39
MT-CO3	Bladder (n=21)	30940.9	29410	10959.92
MT-CO3	Brain - Amygdala (n=152)	71941.17	72425	13127.78
MT-CO3	Brain - Anterior cingulate cortex (BA24) (n=176)	67540.82	67870	13482.55
MT-CO3	Brain - Caudate (basal ganglia) (n=246)	53983.13	53980	10236.45
MT-CO3	Brain - Cerebellar Hemisphere (n=215)	43698.33	39680	15186.52
MT-CO3	Brain - Cerebellum (n=241)	42370.66	40070	10840.94
MT-CO3	Brain - Cortex (n=255)	54534.51	54370	10012.34
MT-CO3	Brain - Frontal Cortex (BA9) (n=209)	53802.58	53400	12776.76
MT-CO3	Brain - Hippocampus (n=197)	71257.82	71990	14770.98
MT-CO3	Brain - Hypothalamus (n=202)	64221.78	63930	15264.39
MT-CO3	Brain - Nucleus accumbens (basal ganglia) (n=246)	59999.29	58755	13435.97
MT-CO3	Brain - Putamen (basal ganglia) (n=205)	58526.1	58340	10411.5
MT-CO3	Brain - Spinal cord (cervical c-1) (n=159)	42732.96	41870	14006.62
MT-CO3	Brain - Substantia nigra (n=139)	57596.76	57210	14382.61
MT-CO3	Breast - Mammary Tissue (n=459)	38505.51	35820	13296.36
MT-CO3	Cells - Cultured fibroblasts (n=504)	12755.56	11420	4282.42
MT-CO3	Cells - EBV-transformed lymphocytes (n=174)	18109.67	18090	4593.77
MT-CO3	Cervix - Ectocervix (n=9)	17318.56	18070	4894.02
MT-CO3	Cervix - Endocervix (n=10)	19932.5	19525	8102.57
MT-CO3	Colon - Sigmoid (n=373)	34734.5	33370	12194.53
MT-CO3	Colon - Transverse (n=406)	46930.45	46860	16925.6
MT-CO3	Esophagus - Gastroesophageal Junction (n=375)	38167.97	33980	15697.39
MT-CO3	Esophagus - Mucosa (n=555)	26409.69	23050	12839.02
MT-CO3	Esophagus - Muscularis (n=515)	38658.93	35350	14113
MT-CO3	Fallopian Tube (n=9)	20151.11	22630	4663.95
MT-CO3	Heart - Atrial Appendage (n=429)	63461.56	61220	17765.59
MT-CO3	Heart - Left Ventricle (n=432)	71583.54	66045	23307.28
MT-CO3	Kidney - Cortex (n=85)	88198.47	86570	33872.8
MT-CO3	Liver (n=226)	45972.62	44570	19031.95
MT-CO3	Lung (n=578)	19658.29	18630	7645.75
MT-CO3	Minor Salivary Gland (n=162)	26963.21	25845	8233.25
MT-CO3	Muscle - Skeletal (n=803)	42470.32	41940	10246.79
MT-CO3	Nerve - Tibial (n=619)	23627.28	22870	5952.43
MT-CO3	Ovary (n=180)	16456.27	17750	8038.98
MT-CO3	Pancreas (n=328)	11895.02	11210	4834.63
MT-CO3	Pituitary (n=283)	28215.41	27880	10878.73
MT-CO3	Prostate (n=245)	38330.86	35570	14402.25
MT-CO3	Skin - Not Sun Exposed (Suprapubic) (n=604)	36994.49	35630	9499.92
MT-CO3	Skin - Sun Exposed (Lower leg) (n=701)	35321.44	34550	8601.88
MT-CO3	Small Intestine - Terminal Ileum (n=187)	38641.81	38250	13141.51
MT-CO3	Spleen (n=241)	20076.25	19970	6661.2
MT-CO3	Stomach (n=359)	40705.77	38330	14179.77
MT-CO3	Testis (n=361)	37366.51	35090	10421.46
MT-CO3	Thyroid (n=653)	36139.8	35520	12617.49
MT-CO3	Uterus (n=142)	19836.17	19570	7339.12
MT-CO3	Vagina (n=156)	21851.91	21235	8802.81
MT-CO3	Whole Blood (n=755)	4814.81	4196	2924.48
